"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"2/12/2026","2/12/2026","2/12/2026","AAPL","Cash Div: R/D 2026-02-09 P/D 2026-02-12 - 0.370411 shares at 0.26 new dividend IN nra tax withhold","NRAT","","","($0.03)"
"2/12/2026","2/12/2026","2/12/2026","AAPL","Cash Div: R/D 2026-02-09 P/D 2026-02-12 - 0.370411 shares at 0.26","CDIV","","","$0.10"
"1/30/2026","1/30/2026","1/30/2026","SPY","Cash Div: R/D 2025-12-19 P/D 2026-01-30 - 0.190597 shares at 1.993368 new dividend IN nra tax withhold","NRAT","","","($0.11)"
"1/30/2026","1/30/2026","1/30/2026","SPY","Cash Div: R/D 2025-12-19 P/D 2026-01-30 - 0.190597 shares at 1.993368","CDIV","","","$0.38"
"1/30/2026","1/30/2026","1/30/2026","","Interest Payment","INT","","","$0.04"
"1/28/2026","1/28/2026","1/29/2026","QQQ","Invesco QQQ
CUSIP: 46090E103","Buy","0.157801","$635.23","($100.24)"
"1/28/2026","1/28/2026","1/29/2026","COPX","Global X Copper Miners ETF
CUSIP: 37954Y830","Buy","0.084716","$92.19","($7.81)"
"1/28/2026","1/28/2026","1/29/2026","COPX","Global X Copper Miners ETF
CUSIP: 37954Y830","Buy","1","$92.19","($92.19)"
"1/28/2026","1/28/2026","1/29/2026","SLV","iShares Silver Trust
CUSIP: 46428Q109","Buy","0.429543","$102.90","($44.20)"
"1/28/2026","1/28/2026","1/29/2026","SLV","iShares Silver Trust
CUSIP: 46428Q109","Buy","2","$102.90","($205.80)"
"1/28/2026","1/28/2026","1/29/2026","ASTS","AST SpaceMobile
CUSIP: 00217D100","Buy","0.441657","$113.21","($50.00)"
"1/28/2026","1/28/2026","1/28/2026","","Instant bank transfer - account ending in 2776","RTP","","","$500.00"
"1/26/2026","1/26/2026","1/26/2026","","Gold Subscription Fee","GOLD","","","($5.00)"
"1/7/2026","1/7/2026","1/7/2026","COPX","Cash Div: R/D 2025-12-30 P/D 2026-01-07 - 1.899703 shares at 1.672477 new dividend IN nra tax withhold","NRAT","","","($0.95)"
"1/7/2026","1/7/2026","1/7/2026","COPX","Cash Div: R/D 2025-12-30 P/D 2026-01-07 - 1.899703 shares at 1.672477","CDIV","","","$3.18"
"1/7/2026","1/7/2026","1/7/2026","AIQ","Cash Div: R/D 2025-12-30 P/D 2026-01-07 - 3.864734 shares at 0.045113 new dividend IN nra tax withhold","NRAT","","","($0.05)"
"1/7/2026","1/7/2026","1/7/2026","AIQ","Cash Div: R/D 2025-12-30 P/D 2026-01-07 - 3.864734 shares at 0.045113","CDIV","","","$0.17"
"12/31/2025","12/31/2025","12/31/2025","","Interest Payment","INT","","","$0.11"
"12/26/2025","12/26/2025","12/26/2025","GDX","Cash Div: R/D 2025-12-22 P/D 2025-12-26 - 1.311638 shares at 0.6331 new dividend IN nra tax withhold","NRAT","","","($0.25)"
"12/26/2025","12/26/2025","12/26/2025","GDX","Cash Div: R/D 2025-12-22 P/D 2025-12-26 - 1.311638 shares at 0.6331","CDIV","","","$0.83"
"12/26/2025","12/26/2025","12/26/2025","","Gold Subscription Fee","GOLD","","","($5.00)"
"12/26/2025","12/26/2025","12/29/2025","","ACH Deposit","ACH","","","$5.00"
"12/26/2025","12/26/2025","12/29/2025","","ACH Deposit","ACH","","","$1.00"
"12/24/2025","12/24/2025","12/24/2025","VTV","Cash Div: R/D 2025-12-22 P/D 2025-12-24 - 0.542493 shares at 0.9862 new dividend IN nra tax withhold","NRAT","","","($0.16)"
"12/24/2025","12/24/2025","12/24/2025","VTV","Cash Div: R/D 2025-12-22 P/D 2025-12-24 - 0.542493 shares at 0.9862","CDIV","","","$0.54"
"12/24/2025","12/24/2025","12/24/2025","VOO","Cash Div: R/D 2025-12-22 P/D 2025-12-24 - 0.242236 shares at 1.771 new dividend IN nra tax withhold","NRAT","","","($0.13)"
"12/24/2025","12/24/2025","12/24/2025","VOO","Cash Div: R/D 2025-12-22 P/D 2025-12-24 - 0.242236 shares at 1.771","CDIV","","","$0.43"
"12/24/2025","12/24/2025","12/24/2025","VTI","Cash Div: R/D 2025-12-22 P/D 2025-12-24 - 0.787344 shares at 0.9508 new dividend IN nra tax withhold","NRAT","","","($0.23)"
"12/24/2025","12/24/2025","12/24/2025","VTI","Cash Div: R/D 2025-12-22 P/D 2025-12-24 - 0.787344 shares at 0.9508","CDIV","","","$0.75"
"12/24/2025","12/24/2025","12/26/2025","RIVN","Rivian Automotive
CUSIP: 76954A103","Buy","0.361832","$21.17","($7.66)"
"12/24/2025","12/24/2025","12/26/2025","RIVN","Rivian Automotive
CUSIP: 76954A103","Buy","2","$21.17","($42.34)"
"12/24/2025","12/24/2025","12/26/2025","RKLB","Rocket Lab Corporation
CUSIP: 773121108","Buy","0.76923","$78.00","($60.00)"
"12/24/2025","12/24/2025","12/26/2025","ASTS","AST SpaceMobile
CUSIP: 00217D100","Buy","0.668002","$89.82","($60.00)"
"12/24/2025","12/24/2025","12/26/2025","SLV","iShares Silver Trust
CUSIP: 46428Q109","Buy","0.770023","$65.05","($50.09)"
